Date,Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power,City,Index
1/1/2020,12:00:00 AM,21.7,68,12.7,8.5,14.05,243,250,12.6,0.4775,Helsinki,1
1/1/2020,1:00:00 AM,22.5,69,13.7,8.1,13.38,243,250,12.2,0.4725,Helsinki,2
1/1/2020,2:00:00 AM,23.6,70,15.3,8.1,13.38,246,253,11.5,0.4675,Helsinki,3
1/1/2020,3:00:00 AM,25.8,71,17.8,7.97,13.15,250,257,11.5,0.4625,Helsinki,4
1/1/2020,4:00:00 AM,27.1,73,19.6,7.82,12.97,254,261,11.3,0.4575,Helsinki,5
1/1/2020,5:00:00 AM,28.1,75,21.2,7.43,12.25,253,261,11.2,0.4454,Helsinki,6
1/1/2020,6:00:00 AM,29.6,79,23.9,6.99,11.52,261,267,11.1,0.4261,Helsinki,7
1/1/2020,7:00:00 AM,29,82,24.1,6.77,11.14,254,258,10,0.4068,Helsinki,8
1/1/2020,8:00:00 AM,28.6,82,23.8,6.8,11.14,242,244,9.6,0.3875,Helsinki,9
1/1/2020,9:00:00 AM,28.6,80,23.3,7.69,12.53,244,245,11,0.3682,Helsinki,10
1/1/2020,10:00:00 AM,29.4,79,23.8,7.56,12.22,242,246,11.2,0.3489,Helsinki,11
1/1/2020,11:00:00 AM,30.6,80,25.1,7.3,11.83,247,251,10.9,0.3296,Helsinki,12
1/1/2020,12:00:00 PM,32,79,26.3,7.5,12.12,249,253,10.9,0.319,Helsinki,13
1/1/2020,1:00:00 PM,32.7,80,27.3,7.71,12.15,247,253,11,0.3169,Helsinki,14
1/1/2020,2:00:00 PM,33.5,83,28.9,6.99,11.25,257,264,11.1,0.3148,Helsinki,15
1/1/2020,3:00:00 PM,33.9,87,30.5,6.53,10.51,259,268,10,0.3127,Helsinki,16
1/1/2020,4:00:00 PM,33.5,89,30.7,6.81,10.8,260,269,9.6,0.3106,Helsinki,17
1/1/2020,5:00:00 PM,32.6,92,30.5,7.17,11.5,262,269,10.2,0.3085,Helsinki,18
1/1/2020,6:00:00 PM,34.1,91,31.6,6.56,10.43,278,284,10.5,0.3105,Helsinki,19
1/1/2020,7:00:00 PM,33.5,92,31.4,7.08,11.15,289,294,10,0.3164,Helsinki,20
1/1/2020,8:00:00 PM,31.1,93,29.2,6.98,11.15,297,303,10.3,0.3223,Helsinki,21
1/1/2020,9:00:00 PM,30.7,95,29.5,6.71,10.6,303,308,10,0.3282,Helsinki,22
1/1/2020,10:00:00 PM,32.2,96,31.2,6.84,10.34,308,312,9.8,0.3341,Helsinki,23
1/1/2020,11:00:00 PM,32.5,96,31.6,7.36,10.97,314,317,10.5,0.34,Helsinki,24
1/2/2020,12:00:00 AM,31.7,95,30.5,7.72,11,318,320,11,0.3459,Helsinki,25
1/2/2020,1:00:00 AM,30.7,94,29.2,8.04,11.52,322,324,11.5,0.3518,Helsinki,26
1/2/2020,2:00:00 AM,29.4,93,27.6,8.9,12.18,327,328,12.6,0.3577,Helsinki,27
1/2/2020,3:00:00 AM,26.9,91,24.7,9.6,13.23,326,327,13.9,0.3636,Helsinki,28
1/2/2020,4:00:00 AM,25.8,91,23.5,8.86,12.54,323,324,13.9,0.3695,Helsinki,29
1/2/2020,5:00:00 AM,26.2,91,23.8,8.22,11.43,319,320,12.7,0.3561,Helsinki,30
1/2/2020,6:00:00 AM,28,89,25.3,5.81,8.42,319,323,11.9,0.3232,Helsinki,31
1/2/2020,7:00:00 AM,27.9,88,24.9,5.73,8.13,313,315,8.4,0.2904,Helsinki,32
1/2/2020,8:00:00 AM,27.3,89,24.6,6.24,8.51,302,304,9,0.2575,Helsinki,33
1/2/2020,9:00:00 AM,27.6,90,25.1,6.4,8.85,295,297,9.3,0.2246,Helsinki,34
1/2/2020,10:00:00 AM,28.5,91,26.2,5.5,8.25,289,293,9.3,0.1918,Helsinki,35
1/2/2020,11:00:00 AM,29.8,90,27.2,5.71,8.57,281,287,8.2,0.1589,Helsinki,36
1/2/2020,12:00:00 PM,30.3,90,27.7,5.43,8.28,276,282,8.2,0.1396,Helsinki,37
1/2/2020,1:00:00 PM,31.5,91,29.2,5.35,8.02,262,266,7.8,0.1338,Helsinki,38
1/2/2020,2:00:00 PM,31.6,92,29.7,6.02,8.71,259,261,8.6,0.1279,Helsinki,39
1/2/2020,3:00:00 PM,32,92,29.9,5.8,8.31,268,272,8.7,0.1221,Helsinki,40
1/2/2020,4:00:00 PM,31.6,92,29.6,4.8,7.44,270,276,8.4,0.1163,Helsinki,41
1/2/2020,5:00:00 PM,29.8,93,28,4.6,7.16,270,277,6.9,0.1104,Helsinki,42
1/2/2020,6:00:00 PM,27.7,92,25.7,4.25,7.04,300,309,7,0.1105,Helsinki,43
1/2/2020,7:00:00 PM,25.4,93,23.7,3.68,5.69,292,309,5.9,0.1165,Helsinki,44
1/2/2020,8:00:00 PM,23,94,21.6,2.91,3.83,286,311,4.9,0.1224,Helsinki,45
1/2/2020,9:00:00 PM,22.3,95,21,2.11,1.97,275,330,3.7,0.1284,Helsinki,46
1/2/2020,10:00:00 PM,26.4,93,24.6,1.96,0.95,255,288,3,0.1344,Helsinki,47
1/2/2020,11:00:00 PM,28.4,93,26.6,0.58,0.32,239,162,2.6,0.1403,Helsinki,48
1/3/2020,12:00:00 AM,28.6,93,26.9,0.92,1.78,131,142,1,0.1463,Helsinki,49
1/3/2020,1:00:00 AM,28.7,94,27.1,2.28,3.47,119,136,3.1,0.1523,Helsinki,50
1/3/2020,2:00:00 AM,27.9,96,26.9,2.64,4.19,115,130,3.9,0.1583,Helsinki,51
1/3/2020,3:00:00 AM,27.4,97,26.8,2.95,3.51,66,87,4,0.1642,Helsinki,52
1/3/2020,4:00:00 AM,27,96,26.1,4.22,5.59,36,44,6.2,0.1702,Helsinki,53
1/3/2020,5:00:00 AM,26.4,96,25.4,4.43,6.27,28,34,6.5,0.1762,Helsinki,54
1/3/2020,6:00:00 AM,26.6,92,24.7,5.38,8.34,350,354,6.6,0.1822,Helsinki,55
1/3/2020,7:00:00 AM,26.5,91,24.4,6.15,9.49,338,340,8.9,0.1881,Helsinki,56
1/3/2020,8:00:00 AM,26.3,91,24,6.89,9.08,332,333,9.7,0.1941,Helsinki,57
1/3/2020,9:00:00 AM,26.7,90,24.3,8.32,11.92,321,323,11.6,0.2001,Helsinki,58
1/3/2020,10:00:00 AM,26.3,83,21.9,8.87,12.31,320,321,13.3,0.206,Helsinki,59
1/3/2020,11:00:00 AM,25.2,81,20.2,8.91,13.09,315,317,13.3,0.212,Helsinki,60
1/3/2020,12:00:00 PM,24.3,79,18.7,9.06,13.22,313,315,13.6,0.2383,Helsinki,61
1/3/2020,1:00:00 PM,24,79,18.4,8.51,12.46,310,312,13.1,0.285,Helsinki,62
1/3/2020,2:00:00 PM,23.7,80,18.5,8.43,12.59,312,314,12.3,0.3317,Helsinki,63
1/3/2020,3:00:00 PM,23.4,78,17.5,8.35,12.09,313,315,12.5,0.3783,Helsinki,64
1/3/2020,4:00:00 PM,22.4,78,16.6,7.93,11.81,312,315,12.2,0.425,Helsinki,65
1/3/2020,5:00:00 PM,20.8,80,15.5,6.79,10.75,313,317,11.4,0.4717,Helsinki,66
1/3/2020,6:00:00 PM,19.4,81,14.5,7.04,11.31,309,314,9.7,0.4794,Helsinki,67
1/3/2020,7:00:00 PM,18.9,81,14.1,7.08,11.4,306,312,10.5,0.4483,Helsinki,68
1/3/2020,8:00:00 PM,18,82,13.4,6.32,10.34,305,312,10.1,0.4172,Helsinki,69
1/3/2020,9:00:00 PM,16.9,82,12.5,5.78,9.3,300,310,9,0.386,Helsinki,70
1/3/2020,10:00:00 PM,15.9,83,11.7,5.37,8.3,294,306,8.1,0.3549,Helsinki,71
1/3/2020,11:00:00 PM,15.1,83,10.9,5.51,8.32,286,297,7.7,0.3238,Helsinki,72
1/4/2020,12:00:00 AM,14.2,84,10.3,5.77,8.82,279,288,8.1,0.2926,Helsinki,73
1/4/2020,1:00:00 AM,13.6,85,9.9,6.53,10.38,275,281,8.9,0.2615,Helsinki,74
1/4/2020,2:00:00 AM,14.4,83,10.2,6.14,10.26,277,280,9.7,0.2303,Helsinki,75
1/4/2020,3:00:00 AM,13.7,83,9.5,5.22,8.7,266,271,8.6,0.1992,Helsinki,76
1/4/2020,4:00:00 AM,14.6,84,10.6,4.7,7.5,243,249,7.3,0.1681,Helsinki,77
1/4/2020,5:00:00 AM,15.1,85,11.5,6.26,10.38,241,242,8.7,0.178,Helsinki,78
1/4/2020,6:00:00 AM,16.1,90,13.6,5.58,9.52,234,238,9.4,0.2291,Helsinki,79
1/4/2020,7:00:00 AM,17.1,87,13.8,5.42,8.85,218,223,7.9,0.2802,Helsinki,80
1/4/2020,8:00:00 AM,17.1,86,13.6,5.99,9.6,208,211,8.4,0.3312,Helsinki,81
1/4/2020,9:00:00 AM,18.2,83,13.9,6.61,11.24,200,204,9.4,0.3823,Helsinki,82
1/4/2020,10:00:00 AM,20.2,80,15.1,7.23,11.86,194,199,10.2,0.4334,Helsinki,83
1/4/2020,11:00:00 AM,20.8,79,15.4,7.78,12.61,198,202,11.2,0.4845,Helsinki,84
1/4/2020,12:00:00 PM,22.3,77,16.2,8.02,13.01,203,207,11.6,0.5102,Helsinki,85
1/4/2020,1:00:00 PM,23.5,77,17.2,8.42,13.24,204,208,12.2,0.5106,Helsinki,86
1/4/2020,2:00:00 PM,24.3,79,18.7,8.19,12.75,204,209,12.1,0.511,Helsinki,87
1/4/2020,3:00:00 PM,24.7,81,19.9,7.47,11.87,206,213,11.8,0.5115,Helsinki,88
1/4/2020,4:00:00 PM,25.3,83,20.8,7.47,12.1,208,216,10.7,0.5119,Helsinki,89
1/4/2020,5:00:00 PM,25.7,83,21.3,7.57,12.48,214,220,10.7,0.5123,Helsinki,90
1/4/2020,6:00:00 PM,28.7,79,22.9,8.72,14.4,233,236,11.4,0.513,Helsinki,91
1/4/2020,7:00:00 PM,29.7,76,23,9.17,15.03,242,245,12.9,0.5139,Helsinki,92
1/4/2020,8:00:00 PM,30.6,75,23.5,9.75,15.84,249,251,14,0.5148,Helsinki,93
1/4/2020,9:00:00 PM,31.5,74,24.2,9.71,15.66,258,265,14,0.5157,Helsinki,94
1/4/2020,10:00:00 PM,34.7,69,25.5,10.6,17.08,284,289,15,0.5166,Helsinki,95
1/4/2020,11:00:00 PM,36,69,26.8,10.83,17.36,295,301,15.5,0.5175,Helsinki,96
1/5/2020,12:00:00 AM,38.2,68,28.4,12.15,18.79,293,295,16.8,0.5184,Helsinki,97
1/5/2020,1:00:00 AM,38.6,69,29.1,13.71,20.14,293,294,19.5,0.5193,Helsinki,98
1/5/2020,2:00:00 AM,37.5,64,26.5,14.39,20.85,289,290,20.7,0.5202,Helsinki,99
1/5/2020,3:00:00 AM,35.6,65,25.1,15.33,21.9,284,285,21.7,0.5211,Helsinki,100
1/5/2020,4:00:00 AM,32.2,78,26.1,16.03,22.41,294,296,22.8,0.522,Helsinki,101
1/5/2020,5:00:00 AM,33.2,81,27.9,17.58,24.04,307,307,26.3,0.5223,Helsinki,102
1/5/2020,6:00:00 AM,31.8,73,24.3,16.65,23.35,309,310,25.4,0.522,Helsinki,103
